City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
1389,Ereymentau,51.62,73.1,34.52,81,0,5.59,KZ,clear sky
1390,Pontes E Lacerda,-15.23,-59.34,82.65,46,65,8.93,BR,broken clouds
1391,Asau,46.43,26.4,42.01,94,100,5.64,RO,overcast clouds
1392,Churapcha,62.0,132.43,-12.32,89,0,2.98,RU,clear sky
1393,Hopelchen,19.77,-89.85,75.2,88,40,9.17,MX,scattered clouds
1394,Castro,-24.79,-50.01,60.03,77,100,7.0,BR,overcast clouds
1395,Chimoio,-19.12,33.48,86.0,42,75,9.53,MZ,broken clouds
1396,Hilo,19.73,-155.09,75.2,78,90,2.89,US,overcast clouds
1397,Albany,42.6,-73.97,37.0,100,20,1.61,US,fog
1398,Puerto Del Rosario,28.5,-13.86,78.8,47,0,5.82,ES,clear sky
1399,Barrow,71.29,-156.79,17.6,78,90,3.36,US,overcast clouds
1400,Semporna,4.48,118.61,78.8,94,20,5.93,MY,few clouds
1401,Moroni,-11.7,43.26,78.48,76,100,3.42,KM,light rain
1402,Sitka,57.05,-135.33,48.2,93,90,17.22,US,heavy intensity rain
1403,Kodiak,57.79,-152.41,32.0,90,1,8.05,US,clear sky
1404,Bredasdorp,-34.53,20.04,68.0,45,0,13.87,ZA,clear sky
1405,East London,-33.02,27.91,66.2,77,40,9.17,ZA,scattered clouds
1406,Magadi,12.97,77.23,78.8,57,40,4.7,IN,haze
1407,Magistralnyy,56.17,107.45,24.44,90,98,7.38,RU,overcast clouds
1408,Mehamn,71.04,27.85,27.45,94,85,13.38,NO,overcast clouds
1409,Busselton,-33.65,115.33,64.0,64,100,9.22,AU,overcast clouds
1410,Rikitea,-23.12,-134.97,74.82,70,18,6.76,PF,few clouds
1411,Jamestown,42.1,-79.24,35.01,92,90,4.7,US,overcast clouds
1412,Santa Isabel Do Rio Negro,-0.41,-65.02,90.52,54,100,4.34,BR,overcast clouds
1413,Punta Arenas,-53.15,-70.92,51.8,71,0,6.93,CL,clear sky
1414,Mataura,-46.19,168.86,48.0,82,5,3.0,NZ,clear sky
1415,Nishihara,26.18,127.76,73.4,56,40,8.05,JP,scattered clouds
1416,Ambilobe,-13.2,49.05,83.39,45,99,3.56,MG,overcast clouds
1417,Mount Isa,-20.73,139.5,75.2,19,0,5.82,AU,clear sky
1418,Faanui,-16.48,-151.75,78.42,76,31,17.27,PF,scattered clouds
1419,Terney,45.05,136.61,43.5,76,100,8.25,RU,overcast clouds
1420,Hermanus,-34.42,19.23,70.0,50,0,5.99,ZA,clear sky
1421,Port Elizabeth,-33.92,25.57,68.0,56,0,10.29,ZA,clear sky
1422,Mount Gambier,-37.83,140.77,44.6,87,25,5.82,AU,scattered clouds
1423,Castro,-24.79,-50.01,60.03,77,100,7.0,BR,overcast clouds
1424,Rikitea,-23.12,-134.97,74.82,70,18,6.76,PF,few clouds
1425,Alexandria,31.22,29.96,78.8,54,40,12.75,EG,scattered clouds
1426,Oussouye,12.48,-16.55,91.4,55,0,2.24,SN,clear sky
1427,Isangel,-19.55,169.27,75.0,80,90,13.44,VU,overcast clouds
1428,Adre,13.47,22.2,92.39,17,5,4.32,TD,clear sky
1429,Avarua,-21.21,-159.78,73.4,83,100,10.29,CK,light rain
1430,Busselton,-33.65,115.33,64.0,64,100,9.22,AU,overcast clouds
1431,Sakaraha,-22.9,44.53,91.11,25,1,10.04,MG,clear sky
1432,Avarua,-21.21,-159.78,73.4,83,100,10.29,CK,light rain
1433,Hilo,19.73,-155.09,75.2,78,90,2.89,US,overcast clouds
