City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
844,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
845,Cape Town,ZA,71.6,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
848,Cape Town,ZA,71.6,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
849,Dagua,CO,69.8,broken clouds,3.66,-76.69,Villa alegre
853,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
854,Tulu Bolo,ET,70.34,scattered clouds,8.67,38.22,Kiya Sime Hotel
855,Shurugwi,ZW,82.76,clear sky,-19.67,30.01,Flame Lily Lodge
857,Singkang,MY,78.8,few clouds,2.1,102.8,Kampung Seri Makmor Pagoh
858,Hithadhoo,MV,83.44,light rain,-0.6,73.08,Scoop Guest House
859,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
860,Alice Springs,AU,68.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
861,Lamu,KE,84.2,scattered clouds,-2.27,40.9,Lamu House
865,Abu Dhabi,AE,86.0,clear sky,24.47,54.37,Beach Rotana
866,Cidreira,BR,68.07,broken clouds,-30.18,-50.21,Hotel Castelo
867,Lagoa,PT,68.63,overcast clouds,39.05,-27.98,Casa Das Faias
870,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
872,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
874,Kapaa,US,71.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
876,Lorengau,PG,81.07,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
877,Cayenne,GF,87.8,broken clouds,4.93,-52.33,Hôtel Le Dronmi
878,Saldanha,ZA,78.8,clear sky,-33.01,17.94,Blue Bay Lodge
879,Yulara,AU,75.2,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
880,Barcelos,PT,68.0,overcast clouds,41.54,-8.62,Hotel Do Terço
881,Maragogi,BR,83.37,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
884,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
885,Esperance,AU,75.2,broken clouds,-33.87,121.9,Hospitality Esperance
888,Necochea,AR,66.02,clear sky,-38.55,-58.74,dyd -mar Hotel
889,Butaritari,KI,81.09,broken clouds,3.07,172.79,Isles Sunset Lodge
890,Kapaa,US,71.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
892,Chauk,MM,80.64,broken clouds,20.88,94.82,Bo Khin Guest House
897,Cozumel,MX,82.0,broken clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
898,Avarua,CK,73.4,light rain,-21.21,-159.78,Paradise Inn
899,East London,ZA,66.2,scattered clouds,-33.02,27.91,Tu Casa
900,Nalut,LY,74.16,clear sky,30.33,10.85,
901,Caravelas,BR,82.09,moderate rain,-17.71,-39.25,Pousada dos Navegantes
905,Faanui,PF,78.42,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
906,Atuona,PF,78.03,few clouds,-9.8,-139.03,Villa Enata
907,Marzuq,YE,80.01,clear sky,14.4,46.47,
913,Bilma,NE,87.8,clear sky,18.69,12.92,Expeditions Ténére voyages
914,Kahului,US,78.8,few clouds,20.89,-156.47,Maui Seaside Hotel
915,Butaritari,KI,81.09,broken clouds,3.07,172.79,Isles Sunset Lodge
916,Teahupoo,PF,73.4,few clouds,-17.83,-149.27,Vanira Lodge
923,Carnarvon,AU,71.6,overcast clouds,-24.87,113.63,Hospitality Carnarvon
925,Tessalit,ML,94.39,clear sky,20.2,1.01,
926,Atuona,PF,78.03,few clouds,-9.8,-139.03,Villa Enata
927,Humaita,BR,85.24,light rain,-7.51,-63.02,Corrêa Hotel
928,Tabas,IR,80.6,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
930,Touros,BR,82.4,shower rain,-5.2,-35.46,INN NEW HORIZON
931,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
933,Nishihara,JP,73.4,scattered clouds,26.18,127.76,Minshuku Agaihama
934,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
935,Chabahar,IR,76.93,clear sky,25.29,60.64,هتل گدروشیا
936,Macas,EC,68.0,broken clouds,-2.32,-78.12,Casa Upano - Guesthouse & Sanctuary
938,Kapaa,US,71.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
940,Atuona,PF,78.03,few clouds,-9.8,-139.03,Villa Enata
942,Bambous Virieux,MU,71.6,shower rain,-20.34,57.76,Casa Tia Villa
946,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
947,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
949,Lorengau,PG,81.07,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
954,Rio Grande,BR,69.8,scattered clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
955,Xuddur,SO,81.77,light rain,4.12,43.89,Banjanay Hotel
956,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
957,Carnarvon,AU,71.6,overcast clouds,-24.87,113.63,Hospitality Carnarvon
962,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
966,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
967,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
968,Sao Filipe,CV,82.35,overcast clouds,14.9,-24.5,Tortuga B&B
969,Ponta Pora,BR,69.8,scattered clouds,-22.54,-55.73,Hotel Pousada do Bosque
971,Vila Franca Do Campo,PT,69.8,broken clouds,37.72,-25.43,Pestana Bahia Praia
972,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
975,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
978,Avarua,CK,73.4,light rain,-21.21,-159.78,Paradise Inn
982,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
983,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
984,Beira,MZ,82.4,few clouds,-19.84,34.84,Beira Terrace Hotel
985,Ballina,AU,68.0,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
986,Salalah,OM,87.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
987,Bredasdorp,ZA,68.0,clear sky,-34.53,20.04,Bredasdorp Country Manor
989,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
995,Butaritari,KI,81.09,broken clouds,3.07,172.79,Isles Sunset Lodge
996,Pemangkat,ID,80.01,moderate rain,1.17,108.97,Kost H.Syamsuddin
997,Mount Isa,AU,75.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
998,Belmonte,BR,82.4,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
